Serial No,Location,Apartment_size,Bed,Bath,Price,Area
0,"Block H, Bashundhara R-A, Dhaka",1600,3,3,20000,Bashundhara
1,"Farmgate, Tejgaon, Dhaka",900,2,2,20000,Farmgate
2,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",1250,3,3,18000,Mohammadpur
3,"Gulshan 1, Gulshan, Dhaka",2200,3,4,75000,Gulshan
4,"Baridhara, Dhaka",2200,3,3,75000,Baridhara
5,"Bashundhara R-A, Dhaka",3000,4,5,50000,Bashundhara
6,"Baridhara, Dhaka",2300,3,3,75000,Baridhara
7,"PC Culture Housing, Mohammadpur, Dhaka",950,2,2,14000,Mohammadpur
8,"Jigatola, Hazaribag, Dhaka",1600,3,3,28000,Hazaribag
9,"West Kazipara, Mirpur, Dhaka",1150,3,3,19000,Mirpur
10,"Block D, Bashundhara R-A, Dhaka",1300,3,3,40000,Bashundhara
11,"Block J, Bashundhara R-A, Dhaka",1250,3,3,19000,Bashundhara
12,"Block D, Bashundhara R-A, Dhaka",1300,3,3,60000,Bashundhara
13,"Nikunja 2, Nikunja, Dhaka",750,2,2,16000,Nikunja
14,"Sector 6, Uttara, Dhaka",1850,3,3,40000,Uttara
15,"Block D, Bashundhara R-A, Dhaka",1300,3,3,35000,Bashundhara
16,"Khilgaon, Dhaka",1200,3,3,18000,Khilgaon
17,"Block K, Baridhara, Dhaka",3000,4,4,160000,Baridhara
18,"Ibrahimpur, Dhaka",1050,3,3,25000,Ibrahimpur
19,"Ibrahimpur, Dhaka",1050,3,3,25000,Ibrahimpur
20,"Sector 5, Uttara, Dhaka",1400,3,2,30000,Uttara
21,"PC Culture Housing, Mohammadpur, Dhaka",1150,3,3,19000,Mohammadpur
22,"Block D, Bashundhara R-A, Dhaka",2100,3,4,40000,Bashundhara
23,"Nurer Chala, Badda, Dhaka",800,2,2,18630,Badda
24,"Block F, Bashundhara R-A, Dhaka",900,2,2,19000,Bashundhara
25,"Sector 4, Uttara, Dhaka",1500,3,3,32000,Uttara
26,"Block D, Bashundhara R-A, Dhaka",1300,3,3,60000,Bashundhara
27,"Block D, Bashundhara R-A, Dhaka",1300,3,3,40000,Bashundhara
28,"Block D, Bashundhara R-A, Dhaka",1300,3,3,40000,Bashundhara
29,"Rajabazar, Tejgaon, Dhaka",650,2,2,18000,Tejgaon
30,"Baridhara, Dhaka",1524,3,3,100000,Baridhara
31,"Khilgaon, Dhaka",1100,3,2,19000,Khilgaon
32,"Sector 9, Uttara, Dhaka",1500,3,4,35000,Uttara
33,"Gulshan 1, Gulshan, Dhaka",3500,4,4,200000,Gulshan
34,"Sector 9, Uttara, Dhaka",850,2,2,25000,Uttara
35,"Sector 14, Uttara, Dhaka",1400,3,4,32000,Uttara
36,"Block D, Section 12, Mirpur, Dhaka",650,2,2,10000,Mirpur
37,"Block G, Bashundhara R-A, Dhaka",1750,3,4,30000,Bashundhara
38,"Baitul Aman Housing Society, Adabor, Dhaka",1200,3,2,20000,Adabor
39,"Kajla, Jatra Bari, Dhaka",800,3,2,15000,Jatra Bari
40,"Sector 11, Uttara, Dhaka",1617,3,4,30000,Uttara
41,"Sector 7, Uttara, Dhaka",1350,3,3,27000,Uttara
42,"Gulshan 2, Gulshan, Dhaka",1600,3,3,50000,Gulshan
43,"Sector 10, Uttara, Dhaka",1900,3,4,50000,Uttara
44,"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",900,2,3,16000,Mohammadpur
45,"Block D, Bashundhara R-A, Dhaka",1300,3,3,60000,Bashundhara
46,"West Malibag, Malibagh, Dhaka",950,2,2,19000,Malibagh
47,"Banani, Dhaka",2600,3,4,75000,Banani
48,"Sector 10, Uttara, Dhaka",1500,3,3,24000,Uttara
49,"Block A, Bashundhara R-A, Dhaka",1860,3,4,38000,Bashundhara
50,"Banani, Dhaka",2200,3,4,80000,Banani
51,"Gulshan 2, Gulshan, Dhaka",3000,4,4,150000,Gulshan
52,"Gulshan 2, Gulshan, Dhaka",3200,4,4,120000,Gulshan
53,"Kakrail, Dhaka",1895,3,4,40000,Kakrail
54,"Block G, Bashundhara R-A, Dhaka",1400,3,3,28000,Bashundhara
55,"Block I, Bashundhara R-A, Dhaka",1500,3,4,25000,Bashundhara
56,"Malibagh, Dhaka",1360,3,3,30000,Malibagh
57,"Malibagh, Dhaka",1300,3,3,30000,Malibagh
58,"Block J, Bashundhara R-A, Dhaka",1000,3,2,18000,Bashundhara
59,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",1000,3,2,18000,Dhanmondi
60,"Block F, Bashundhara R-A, Dhaka",1500,3,4,30000,Bashundhara
61,"Block F, Bashundhara R-A, Dhaka",1800,3,4,30000,Bashundhara
62,"Sector 5, Uttara, Dhaka",2150,3,3,50000,Uttara
63,"Block J, Bashundhara R-A, Dhaka",1000,3,2,18000,Bashundhara
64,"Sector 10, Uttara, Dhaka",1500,3,3,25000,Uttara
65,"Block J, Bashundhara R-A, Dhaka",2000,3,3,26000,Bashundhara
66,"Gulshan 1, Gulshan, Dhaka",3680,3,4,200000,Gulshan
67,"Block D, Bashundhara R-A, Dhaka",1300,3,3,60000,Bashundhara
68,"Maghbazar, Dhaka",1058,2,2,28000,Maghbazar
69,"Block I Extension, Bashundhara R-A, Dhaka",2420,3,4,45000,Bashundhara
70,"West Kalachandpur, Kalachandpur, Dhaka",900,2,2,16000,Kalachandpur
71,"Block D, Bashundhara R-A, Dhaka",1300,3,3,40000,Bashundhara
72,"Sector 3, Uttara, Dhaka",1650,3,3,35000,Uttara
73,"Badda, Dhaka",1250,3,3,25000,Badda
74,"Mohammadpur, Dhaka",2700,3,3,60000,Mohammadpur
75,"Block K, Bashundhara R-A, Dhaka",1200,3,3,20000,Bashundhara
76,"East Badda, Badda, Dhaka",1200,3,3,20000,Badda
77,"Block D, Bashundhara R-A, Dhaka",1300,3,3,35000,Bashundhara
78,"Dhanmondi, Dhaka",2660,3,4,85000,Dhanmondi
79,"Kamal Sarani, South Pirerbag, Pirerbag, Mirpur, Dhaka",800,2,2,13000,Mirpur
80,"Block A, Niketan, Dhaka",1570,3,3,35000,Niketan
81,"Banani, Dhaka",3245,4,4,110000,Banani
82,"Banani, Dhaka",3245,4,4,110000,Banani
83,"Banani, Dhaka",3245,4,4,110000,Banani
84,"East Goran, Goran, Khilgaon, Dhaka",800,2,2,15000,Khilgaon
85,"Block H, Bashundhara R-A, Dhaka",1600,3,3,26000,Bashundhara
86,"Block C, Section 13, Mirpur, Dhaka",745,3,2,15000,Mirpur
87,"Block I, Bashundhara R-A, Dhaka",1500,3,3,27000,Bashundhara
88,"Block B, Bashundhara R-A, Dhaka",1900,3,4,40000,Bashundhara
89,"Block G, Bashundhara R-A, Dhaka",1300,2,2,24760,Bashundhara
90,"Gulshan 1, Gulshan, Dhaka",2400,3,3,100000,Gulshan
91,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",1050,3,2,14000,Mohammadpur
92,"Block G, Bashundhara R-A, Dhaka",2300,4,3,32000,Bashundhara
93,"Sector 5, Uttara, Dhaka",950,2,3,26000,Uttara
94,"Block D, Bashundhara R-A, Dhaka",2100,3,4,40000,Bashundhara
95,"Block G, Bashundhara R-A, Dhaka",1600,3,3,25000,Bashundhara
96,"Block A, Bashundhara R-A, Dhaka",600,2,1,27000,Bashundhara
97,"New Eskaton, Eskaton, Dhaka",1300,3,3,25000,Eskaton
98,"PC Culture Housing, Mohammadpur, Dhaka",1000,3,3,24000,Mohammadpur
99,"Mirpur, Dhaka",1180,3,3,17000,Mirpur
100,"Banani, Dhaka",2550,3,3,95000,Banani
101,"Block C, Bashundhara R-A, Dhaka",1900,3,4,35000,Bashundhara
102,"Dhanmondi, Dhaka",2000,3,4,55000,Dhanmondi
103,"Block H, Banasree, Dhaka",1800,4,4,31000,Banasree
104,"Block B, Bashundhara R-A, Dhaka",2025,3,4,45000,Bashundhara
105,"Baridhara, Dhaka",1524,3,3,100000,Baridhara
106,"Block I, Bashundhara R-A, Dhaka",1500,3,3,26000,Bashundhara
107,"Mohammadpur, Dhaka",1200,3,3,20000,Mohammadpur
108,"Mohammadpur, Dhaka",950,3,2,19000,Mohammadpur
109,"Middle Monipur, Mirpur, Dhaka",1250,3,3,16000,Mirpur
110,"Block G, Bashundhara R-A, Dhaka",1000,2,2,20000,Bashundhara
111,"Block D, Bashundhara R-A, Dhaka",1300,3,3,60000,Bashundhara
112,"Block K, Baridhara, Dhaka",3000,3,4,240000,Baridhara
113,"Block B, Niketan, Dhaka",1450,3,3,54000,Niketan
114,"Gulshan 2, Gulshan, Dhaka",3000,3,4,150000,Gulshan
115,"Block F, Bashundhara R-A, Dhaka",2359,4,3,55000,Bashundhara
116,"Gulshan 1, Gulshan, Dhaka",2000,3,3,90000,Gulshan
117,"Gulshan 1, Gulshan, Dhaka",2000,3,3,90000,Gulshan
118,"Block K, Baridhara, Dhaka",3000,3,3,95000,Baridhara
119,"Monipuripara, Tejgaon, Dhaka",2200,4,4,60000,Tejgaon
120,"East Goran, Goran, Khilgaon, Dhaka",1000,3,3,13000,Khilgaon
121,"Block H, Banasree, Dhaka",1600,4,3,30000,Banasree
122,"Gulshan 1, Gulshan, Dhaka",2200,3,3,55000,Gulshan
123,"Sector 10, Uttara, Dhaka",850,2,2,14000,Uttara
124,"Block D, Bashundhara R-A, Dhaka",1650,3,3,35000,Bashundhara
125,"Block D, Bashundhara R-A, Dhaka",2100,3,3,42000,Bashundhara
126,"Niketan, Dhaka",2021,3,3,50000,Niketan
127,"Banani, Dhaka",2960,4,5,100000,Banani
128,"PC Culture Housing, Mohammadpur, Dhaka",720,2,2,15000,Mohammadpur
129,"Gulshan 2, Gulshan, Dhaka",2100,4,4,100000,Gulshan
130,"Dhanmondi, Dhaka",1800,3,3,50000,Dhanmondi
131,"Block D, Bashundhara R-A, Dhaka",1100,2,2,140000,Bashundhara
132,"Sector 11, Uttara, Dhaka",1550,3,4,26000,Uttara
133,"Shantibag, Malibagh, Dhaka",600,2,1,15000,Malibagh
134,"Rajabazar, Tejgaon, Dhaka",1750,3,4,33000,Tejgaon
135,"Kajla, Jatra Bari, Dhaka",800,3,2,15000,Jatra Bari
136,"Sector 7, Uttara, Dhaka",1750,3,4,55000,Uttara
137,"Block F, aziz Moholla, Mohammadpur, Dhaka",650,2,2,16000,Mohammadpur
138,"Kajla, Jatra Bari, Dhaka",1000,3,2,15000,Jatra Bari
139,"East Bashabo, Bashabo, Dhaka",700,2,1,8500,Bashabo
140,"Block A, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",1500,3,3,25000,Mohammadpur
141,"Baridhara DOHS, Dhaka",1250,3,3,45000,Baridhara
142,"Sector 13, Uttara, Dhaka",900,2,2,17000,Uttara
143,"Mohammadi Housing LTD., Mohammadpur, Dhaka",1200,3,3,18000,Mohammadpur
144,"Gulshan 1, Gulshan, Dhaka",2750,4,4,90000,Gulshan
145,"Block D, Bashundhara R-A, Dhaka",1300,3,3,35000,Bashundhara
146,"Tejgaon, Dhaka",600,2,2,17000,Tejgaon
147,"West Kalachandpur, Kalachandpur, Dhaka",750,2,2,14000,Kalachandpur
148,"Sector 12, Uttara, Dhaka",500,1,1,11000,Uttara
149,"Sector 3, Uttara, Dhaka",1200,2,3,20000,Uttara
150,"East Goran, Goran, Khilgaon, Dhaka",900,2,2,12000,Khilgaon
151,"Dhaka Real Estate, Katashur, Mohammadpur, Dhaka",700,2,2,15000,Mohammadpur
152,"Dhaka Real Estate, Katashur, Mohammadpur, Dhaka",750,2,2,15000,Mohammadpur
153,"Block A, Chandrima Model Town, Mohammadpur, Dhaka",950,2,2,10000,Mohammadpur
154,"Baridhara, Dhaka",4200,4,4,400000,Baridhara
155,"Baridhara, Dhaka",4200,4,4,400000,Baridhara
156,"Sector 13, Uttara, Dhaka",2600,4,4,65000,Uttara
157,"Block D, Bashundhara R-A, Dhaka",1300,3,3,60000,Bashundhara
158,"Block D, Bashundhara R-A, Dhaka",1550,3,4,36000,Bashundhara
159,"Block A, Section 11, Mirpur, Dhaka",1057,3,2,18000,Mirpur
160,"Middle Pirerbag, Pirerbag, Mirpur, Dhaka",1050,3,2,15000,Mirpur
161,"Sector 4, Uttara, Dhaka",1500,3,3,35000,Uttara
162,"Block G, Bashundhara R-A, Dhaka",2250,3,3,75000,Bashundhara
163,"Tejgaon, Dhaka",400,1,1,13000,Tejgaon
164,"Sector 5, Uttara, Dhaka",1300,3,3,60000,Uttara
165,"Nikunja 2, Nikunja, Dhaka",1600,3,3,60000,Nikunja
166,"Dhanmondi, Dhaka",2200,3,3,60000,Dhanmondi
167,"Block A, Banasree, Dhaka",850,2,2,15000,Banasree
168,"Baridhara DOHS, Dhaka",1385,3,4,40000,Baridhara
169,"Sector 13, Uttara, Dhaka",1000,2,2,20000,Uttara
170,"Sector 12, Uttara, Dhaka",900,2,2,17000,Uttara
171,"Sector 13, Uttara, Dhaka",800,2,2,18000,Uttara
172,"Block B, Bashundhara R-A, Dhaka",1600,3,3,42000,Bashundhara
173,"Gulshan 2, Gulshan, Dhaka",2200,3,3,85000,Gulshan
174,"Gulshan 2, Gulshan, Dhaka",2400,3,3,120000,Gulshan
175,"Block D, Bashundhara R-A, Dhaka",1300,3,3,40000,Bashundhara
176,"Gulshan 1, Gulshan, Dhaka",2800,4,4,70000,Gulshan
177,"Block J, Bashundhara R-A, Dhaka",1250,3,3,19000,Bashundhara
178,"Block C, Aftab Nagar, Dhaka",1700,3,3,52500,Aftab Nagar
179,"Block D, Section 2, Mirpur, Dhaka",800,2,1,15000,Mirpur
180,"Block D, Bashundhara R-A, Dhaka",1250,3,2,24000,Bashundhara
181,"Gulshan 2, Gulshan, Dhaka",2800,4,4,250000,Gulshan
182,"West Shewrapara, Mirpur, Dhaka",800,2,2,14000,Mirpur
183,"Block A, Section 11, Mirpur, Dhaka",1057,3,2,18000,Mirpur
184,"Dhanmondi, Dhaka",2700,3,4,90000,Dhanmondi
185,"Banani, Dhaka",3000,4,4,100000,Banani
186,"Nayatola, Maghbazar, Dhaka",550,2,2,13000,Maghbazar
187,"Block A, Section 11, Mirpur, Dhaka",1057,3,2,18000,Mirpur
188,"Block D, Bashundhara R-A, Dhaka",2250,3,4,35000,Bashundhara
189,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",1050,3,2,16000,Mohammadpur
190,"Block C, Section 2, Mirpur, Dhaka",1612,3,4,25000,Mirpur
191,"Baitul Aman Housing Society, Adabor, Dhaka",550,2,1,8500,Adabor
192,"Middle Paikpara, Mirpur, Dhaka",1600,3,3,15000,Mirpur
193,"Taltola, Khilgaon, Dhaka",550,2,1,11000,Taltola
194,"Baitul Aman Housing Society, Adabor, Dhaka",400,1,1,5000,Adabor
195,"South Monipur, Mirpur, Dhaka",850,3,2,13000,Mirpur
196,"Gulshan 2, Gulshan, Dhaka",3000,4,4,150000,Gulshan
197,"Gulshan 1, Gulshan, Dhaka",1650,3,3,55000,Gulshan
198,"Dolipara, Uttara, Dhaka",1800,5,5,35000,Uttara
199,"Sector 3, Uttara, Dhaka",1890,3,3,38000,Uttara
200,"Pirerbag, Mirpur, Dhaka",1200,3,3,15000,Mirpur
201,"Sector 4, Uttara, Dhaka",2600,4,4,75000,Uttara
202,"Eskaton, Dhaka",1900,3,3,45000,Eskaton
203,"Baridhara, Dhaka",2700,3,3,140000,Baridhara
204,"Banani, Dhaka",1800,3,3,70000,Banani
205,"Kajla, Jatra Bari, Dhaka",800,3,2,15000,Jatra Bari
206,"Sector 5, Uttara, Dhaka",1050,2,2,20000,Uttara
207,"Eskaton, Dhaka",1350,3,3,30000,Eskaton
208,"Block D, Bashundhara R-A, Dhaka",1450,3,3,25000,Bashundhara
209,"Eskaton, Dhaka",1760,3,4,35000,Eskaton
210,"Kakrail, Dhaka",1400,3,3,35000,Kakrail
211,"Lalmatia, Dhaka",1000,2,2,26000,Lalmatia
212,"Sector 11, Uttara, Dhaka",1750,3,3,26000,Uttara
213,"Baridhara, Dhaka",5500,4,5,350000,Baridhara
214,"Sector 6, Uttara, Dhaka",1300,3,3,35000,Uttara
215,"1st Colony, Mirpur, Dhaka",1200,3,3,16000,Mirpur
216,"Baridhara, Dhaka",1500,2,3,115000,Baridhara
217,"Sector 11, Uttara, Dhaka",900,2,2,17000,Uttara
218,"Uttar Badda, Badda, Dhaka",1393,3,3,18000,Badda
219,"Block B, Bashundhara R-A, Dhaka",2500,3,3,80000,Bashundhara
220,"Sector 11, Uttara, Dhaka",1360,3,3,25000,Uttara
221,"Sector 4, Uttara, Dhaka",1450,3,3,26000,Uttara
222,"Mohammadpur, Dhaka",600,2,2,18000,Mohammadpur
223,"Baitul Aman Housing Society, Adabor, Dhaka",1050,3,2,15500,Adabor
224,"Block B, Bashundhara R-A, Dhaka",2000,3,4,60000,Bashundhara
225,"Chandmiya Housing, Mohammadpur, Dhaka",1050,2,2,14000,Mohammadpur
226,"Block G, Bashundhara R-A, Dhaka",1400,3,3,36750,Bashundhara
227,"Block C, Aftab Nagar, Dhaka",1050,2,2,16000,Aftab Nagar
228,"East Merul Badda, Merul Badda, Badda, Dhaka",870,2,2,14000,Badda
229,"Sector 11, Uttara, Dhaka",1600,3,4,50000,Uttara
230,"Sector 4, Uttara, Dhaka",1100,2,2,25000,Uttara
231,"Baridhara, Dhaka",1800,2,2,120000,Baridhara
232,"Sector 12, Uttara, Dhaka",1665,3,3,35000,Uttara
233,"Sector 6, Uttara, Dhaka",2000,3,4,55000,Uttara
234,"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",900,2,3,16000,Mohammadpur
235,"Sector 3, Uttara, Dhaka",1530,3,4,33500,Uttara
236,"Block J, Bashundhara R-A, Dhaka",1200,3,3,25000,Bashundhara
237,"Avenue 3, Mirpur DOHS, Mirpur, Dhaka",2100,3,3,35000,Mirpur
238,"Faydabad, Dakshin Khan, Dhaka",2400,4,3,30000,Dakshin Khan
239,"Baridhara, Dhaka",3750,4,4,300000,Baridhara
240,"Sector 1, Block F, Aftab Nagar, Dhaka",1300,3,3,17000,Aftab Nagar
241,"Block I, Bashundhara R-A, Dhaka",1500,3,4,25000,Bashundhara
242,"Sector 2, Block F, Aftab Nagar, Dhaka",650,2,2,14000,Aftab Nagar
243,"Block H, Bashundhara R-A, Dhaka",1600,3,3,22000,Bashundhara
244,"Sector 4, Uttara, Dhaka",1600,3,4,80000,Uttara
245,"Section 2, Mirpur, Dhaka",1400,3,3,25000,Mirpur
246,"Middle Pirerbag, Pirerbag, Mirpur, Dhaka",1050,3,2,15000,Mirpur
247,"Lalmatia, Dhaka",1360,3,4,30000,Lalmatia
248,"Sector 3, Uttara, Dhaka",2000,3,3,70000,Uttara
249,"Sector 10, Uttara, Dhaka",1320,3,3,22000,Uttara
250,"Mohammadpur, Dhaka",550,1,1,12500,Mohammadpur
251,"Block F, aziz Moholla, Mohammadpur, Dhaka",650,2,1,12000,Mohammadpur
252,"Block C, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",750,3,2,16000,Mohammadpur
253,"Mohammadia Housing Society, Mohammadpur, Dhaka",2000,3,4,30000,Mohammadpur
254,"Block D, Mansurabad Housing Society, Adabor, Dhaka",1200,3,3,20000,Adabor
255,"Block C, Bashundhara R-A, Dhaka",1850,3,4,40000,Bashundhara
256,"Mohakhali DOHS, Dhaka",2000,2,3,70000,Mohakhali
257,"Mohakhali DOHS, Dhaka",2700,3,4,85000,Mohakhali
258,"Block K, Bashundhara R-A, Dhaka",1200,3,3,20000,Bashundhara
259,"Block K, Bashundhara R-A, Dhaka",1200,3,3,20000,Bashundhara
260,"Faydabad, Dakshin Khan, Dhaka",800,3,2,8500,Dakshin Khan
261,"Banani, Dhaka",1650,3,3,60000,Banani
262,"Sector 11, Uttara, Dhaka",900,2,2,18000,Uttara
263,"Block A, Bashundhara R-A, Dhaka",2100,3,4,60000,Bashundhara
264,"Sector 10, Uttara, Dhaka",1450,3,3,30000,Uttara
265,"Sector 13, Uttara, Dhaka",1500,3,4,25000,Uttara
266,"Sector 1, Uttara, Dhaka",2000,2,2,30000,Uttara
267,"Jigatola, Hazaribag, Dhaka",1200,3,3,20000,Hazaribag
268,"Sector 13, Uttara, Dhaka",1500,3,4,25000,Uttara
269,"Block J, Baridhara, Dhaka",2500,4,5,70000,Baridhara
270,"Kallyanpur, Mirpur, Dhaka",1372,3,3,18000,Mirpur
271,"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",1350,3,3,20000,Shyamoli
272,"Gulshan 1, Gulshan, Dhaka",2450,3,4,80000,Gulshan
273,"Baridhara, Dhaka",3000,3,4,215000,Baridhara
274,"Baridhara, Dhaka",3200,4,4,200000,Baridhara
275,"Wari, Sutrapur, Dhaka",1100,3,2,22000,Sutrapur
276,"Dhanmondi, Dhaka",2200,3,4,55000,Dhanmondi
277,"Gulshan 1, Gulshan, Dhaka",2720,3,3,80000,Gulshan
278,"Block J, Bashundhara R-A, Dhaka",1250,3,3,20000,Bashundhara
279,"Sector 1, Uttara, Dhaka",2840,4,4,60000,Uttara
280,"Dhanmondi, Dhaka",1778,3,3,45000,Dhanmondi
281,"Mohammadpur, Dhaka",2700,3,4,60000,Mohammadpur
282,"Banani, Dhaka",2400,3,4,80000,Banani
283,"Sector 5, Uttara, Dhaka",1600,3,3,40000,Uttara
284,"Gulshan 2, Gulshan, Dhaka",2200,3,3,70000,Gulshan
285,"Block D, Bashundhara R-A, Dhaka",1776,3,3,30000,Bashundhara
286,"Mirpur, Dhaka",500,2,1,7000,Mirpur
287,"Hatirpool, Dhaka",1500,3,3,35000,Hatirpool
288,"South Pirerbag, Pirerbag, Mirpur, Dhaka",600,2,1,8500,Mirpur
289,"Gulshan 2, Gulshan, Dhaka",3000,2,4,160000,Gulshan
290,"Dhaka Real Estate, Katashur, Mohammadpur, Dhaka",1500,3,3,27000,Mohammadpur
291,"Sector 13, Uttara, Dhaka",2600,4,4,65000,Uttara
292,"Sector 5, Uttara, Dhaka",800,2,1,16000,Uttara
293,"Block C, Bashundhara R-A, Dhaka",2500,3,3,45000,Bashundhara
294,"Sector 5, Uttara, Dhaka",1400,3,3,30000,Uttara
295,"Block C, Bashundhara R-A, Dhaka",1410,3,3,28000,Bashundhara
296,"Sector 12, Uttara, Dhaka",800,2,2,13500,Uttara
297,"Block C, Section 2, Mirpur, Dhaka",1612,3,4,25000,Mirpur
298,"Dhanmondi, Dhaka",2600,4,5,70000,Dhanmondi
299,"Sector 13, Uttara, Dhaka",500,1,1,15000,Uttara
300,"Sector 5, Uttara, Dhaka",1600,3,3,40000,Uttara
301,"East Merul Badda, Merul Badda, Badda, Dhaka",1300,3,3,18000,Badda
302,"Sector 5, Uttara, Dhaka",1600,3,3,40000,Uttara
303,"Taltola, Agargaon, Dhaka",1100,3,3,20000,Taltola
304,"Gulshan 2, Gulshan, Dhaka",4500,6,6,280000,Gulshan
305,"Block J, Bashundhara R-A, Dhaka",1250,3,3,20000,Bashundhara
306,"Sector 11, Uttara, Dhaka",1500,3,4,35000,Uttara
307,"Block F, Bashundhara R-A, Dhaka",2700,4,5,39000,Bashundhara
308,"Gawair, Dakshin Khan, Dhaka",700,2,2,10000,Dakshin Khan
309,"Block D, Bashundhara R-A, Dhaka",2400,4,4,75000,Bashundhara
310,"Sector 5, Uttara, Dhaka",650,2,1,15000,Uttara
311,"Mollika R/A, Section 7, Mirpur, Dhaka",1050,3,2,17000,Mirpur
312,"Mollika R/A, Section 7, Mirpur, Dhaka",1050,3,2,17000,Mirpur
313,"Mohammadpur, Dhaka",2700,3,3,60000,Mohammadpur
314,"Eskaton, Dhaka",1600,3,3,40000,Eskaton
315,"Sector 12, Uttara, Dhaka",1800,3,4,27000,Uttara
316,"West Shewrapara, Mirpur, Dhaka",600,2,2,12000,Mirpur
317,"Banani, Dhaka",2200,3,4,55000,Banani
318,"Sector 14, Uttara, Dhaka",1100,2,2,20000,Uttara
319,"Sector 4, Uttara, Dhaka",1500,3,4,35000,Uttara
320,"Block G, Bashundhara R-A, Dhaka",2100,4,4,54000,Bashundhara
321,"Sector 3, Uttara, Dhaka",1663,3,3,35000,Uttara
322,"Block B, Bashundhara R-A, Dhaka",1950,3,4,35000,Bashundhara
323,"Block H, Bashundhara R-A, Dhaka",950,2,2,18000,Bashundhara
324,"Road No 4, Block G, Bashundhara R-A, Dhaka",1500,3,3,25000,Bashundhara
325,"Badda, Dhaka",950,2,2,20000,Badda
326,"Sector 3, Uttara, Dhaka",2250,3,4,65000,Uttara
327,"Gulbag, Malibagh, Dhaka",750,2,2,16000,Malibagh
328,"Jamtola, East Rampura, Rampura, Dhaka",700,2,2,11500,Rampura
329,"Gulshan 1, Gulshan, Dhaka",2200,3,3,50000,Gulshan
330,"Middle Monipur, Mirpur, Dhaka",400,1,1,6500,Mirpur
331,"Baridhara, Dhaka",4700,4,4,300000,Baridhara
332,"Banani, Dhaka",3000,4,5,90000,Banani
333,"Sector 3, Uttara, Dhaka",1700,3,4,50000,Uttara
334,"Tejkunipara, Tejgaon, Dhaka",1200,3,3,30000,Tejgaon
335,"Gulshan 2, Gulshan, Dhaka",3000,4,4,135000,Gulshan
336,"Sector 13, Uttara, Dhaka",2015,4,4,45000,Uttara
337,"Sector 12, Uttara, Dhaka",600,2,1,11000,Uttara
338,"Baridhara, Dhaka",2500,3,3,130000,Baridhara
339,"Block C, Nobodoy Housing Society, Mohammadpur, Dhaka",700,2,2,13000,Mohammadpur
340,"South Monipur, Mirpur, Dhaka",850,2,2,11000,Mirpur
341,"West Shewrapara, Mirpur, Dhaka",700,2,2,12000,Mirpur
342,"Block G, Bashundhara R-A, Dhaka",1500,3,3,30000,Bashundhara
343,"Block G, Bashundhara R-A, Dhaka",1600,3,3,25000,Bashundhara
344,"Block D, Bashundhara R-A, Dhaka",1800,3,3,30000,Bashundhara
345,"Block K, Bashundhara R-A, Dhaka",1200,3,3,21000,Bashundhara
346,"Sector 9, Uttara, Dhaka",800,2,2,18000,Uttara
347,"Block D, Bashundhara R-A, Dhaka",1350,3,3,25000,Bashundhara
348,"Block D, Bashundhara R-A, Dhaka",1450,3,3,30000,Bashundhara
349,"Monipuripara, Tejgaon, Dhaka",1600,3,4,45500,Tejgaon
350,"Gulbag, Malibagh, Dhaka",600,2,1,14000,Malibagh
351,"Road No 5, Sector 10, Uttara, Dhaka",1943,3,3,28000,Uttara
352,"Sector 10, Uttara, Dhaka",1710,3,4,30000,Uttara
353,"Baridhara, Dhaka",3300,4,4,200000,Baridhara
354,"Block I, Bashundhara R-A, Dhaka",1050,3,2,27000,Bashundhara
355,"Sector 10, Uttara, Dhaka",1600,3,4,22000,Uttara
356,"Pallabi Extension, Pallabi, Mirpur, Dhaka",1200,3,3,16530,Mirpur
357,"Shantibag, Malibagh, Dhaka",1300,3,3,22000,Malibagh
358,"Block C, Bashundhara R-A, Dhaka",1215,3,3,20000,Bashundhara
359,"Block A, Bashundhara R-A, Dhaka",2200,3,4,42000,Bashundhara
360,"Modhubag, Boro Maghbazar, Maghbazar, Dhaka",1400,3,3,25000,Maghbazar
361,"Sector 13, Uttara, Dhaka",1500,3,3,27000,Uttara
362,"Block L, Bashundhara R-A, Dhaka",1500,4,3,17500,Bashundhara
363,"Sector 4, Uttara, Dhaka",1550,3,4,45000,Uttara
364,"Baridhara, Dhaka",2700,3,3,110000,Baridhara
365,"Banani, Dhaka",2200,3,4,100000,Banani
366,"Dhanmondi, Dhaka",2050,3,4,60000,Dhanmondi
367,"Sector 3, Uttara, Dhaka",1850,3,4,65000,Uttara
368,"Block H, Bashundhara R-A, Dhaka",1500,3,3,20000,Bashundhara
369,"Block B, Bashundhara R-A, Dhaka",1400,3,3,30000,Bashundhara
370,"South Pirerbag, Pirerbag, Mirpur, Dhaka",600,2,1,8500,Mirpur
