Serial No,Location,Apartment_size,Bed,Bath,Price,Area
448,"Faydabad, East Azampur, Dakshin Khan, Dhaka",750,2,2,10000,Dakshin Khan
449,"Block B, Sayednagar, East Vatara, Vatara, Badda, Dhaka",800,2,2,12000,Vatara
450,"Faydabad, Dakshin Khan, Dhaka",1100,3,2,15000,Dakshin Khan
451,"West Rampura, Rampura, Dhaka",550,1,1,10000,Rampura
452,"West Rampura, Rampura, Dhaka",950,2,2,14000,Rampura
453,"Mohammadpur, Dhaka",720,2,2,16000,Mohammadpur
454,"RK Mission Road, Gopibag, Motijheel, Dhaka",800,2,2,18000,Motijheel
455,"Middle Badda, Badda, Dhaka",720,2,2,17000,Badda
456,"Middle Badda, Badda, Dhaka",750,2,2,16000,Badda
457,"Block D, Section 11, Mirpur, Dhaka",650,2,2,12000,Mirpur
458,"Middle Badda, Badda, Dhaka",720,2,2,15000,Badda
459,"Gulbag, Malibagh, Dhaka",900,2,2,19000,Malibagh
460,"Lalmatia, Dhaka",1100,3,3,35000,Lalmatia
461,"Lalmatia, Dhaka",1200,3,4,45000,Lalmatia
462,"Shantibag, Malibagh, Dhaka",1200,3,3,26000,Malibagh
463,"Block B, Section 11, Mirpur, Dhaka",650,2,2,10000,Mirpur
464,"Block D, Section 11, Mirpur, Dhaka",650,2,2,12000,Mirpur
465,"Block D, Section 11, Mirpur, Dhaka",650,2,2,10000,Mirpur
466,"Block D, Section 11, Mirpur, Dhaka",650,2,2,12000,Mirpur
467,"Block D, Section 11, Mirpur, Dhaka",650,2,2,12000,Mirpur
468,"Dakkhin Paikpara, Mirpur, Dhaka",600,2,2,10000,Mirpur
469,"Old Eskaton, Eskaton, Dhaka",1300,3,3,40000,Eskaton
470,"Block A, Bochila West Dhanmondi R/A, Bochila, Mohammadpur, Dhaka",1200,3,3,16000,Dhanmondi
471,"Block A, Bochila West Dhanmondi R/A, Bochila, Mohammadpur, Dhaka",1200,3,3,16000,Dhanmondi
472,"Lalmatia, Dhaka",1450,3,3,35000,Lalmatia
473,"North Pirerbag, Pirerbag, Mirpur, Dhaka",600,2,2,11000,Mirpur
474,"Mohammadpur, Dhaka",680,2,2,17000,Mohammadpur
475,"Block B, Future Town, Bochila, Mohammadpur, Dhaka",1400,3,3,15000,Mohammadpur
476,"Matikata, Cantonment, Dhaka",1300,3,3,16500,Cantonment
477,"Matikata, Cantonment, Dhaka",1300,3,3,16500,Cantonment
478,"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",1200,3,3,17000,Shyamoli
479,"Taltola, Khilgaon, Dhaka",900,3,2,26000,Taltola
480,"North Bashabo, Bashabo, Dhaka",1100,3,2,21000,Bashabo
481,"Merul Badda, Badda, Dhaka",1100,3,2,18000,Badda
482,"South Manikdi, Manikdi, Cantonment, Dhaka",500,2,1,9000,Cantonment
483,"Block A, Mansurabad Housing Society, Adabor, Dhaka",800,2,2,15000,Adabor
484,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",600,2,1,13000,Badda
485,"Mohammadpur, Dhaka",750,2,2,14500,Mohammadpur
486,"East Kazipara, Mirpur, Dhaka",980,2,2,14000,Mirpur
487,"Mirpur, Dhaka",850,2,2,11000,Mirpur
488,"West Shewrapara, Mirpur, Dhaka",1165,3,3,21000,Mirpur
489,"Shyamoli, Dhaka",900,2,2,16000,Shyamoli
490,"West Shewrapara, Mirpur, Dhaka",1200,3,3,20000,Mirpur
491,"Dhanmondi, Dhaka",1450,3,3,27000,Dhanmondi
492,"Kallyanpur, Mirpur, Dhaka",1060,3,2,17000,Mirpur
493,"Block C, Section 6, Mirpur, Dhaka",650,2,2,12000,Mirpur
494,"Rajabazar, Tejgaon, Dhaka",950,2,2,24000,Tejgaon
495,"Rajabazar, Tejgaon, Dhaka",1000,3,2,26000,Tejgaon
496,"Pirerbag, Mirpur, Dhaka",1250,3,3,17000,Mirpur
